Year,Variables,January,February,March,April,May,June,July,August,September,October,November,December
2019,Total Net Foreign Assets,6493.55,4908.33,3603.52,-1150.85,-6587.27,-7470.94,-8977.3,-13987.4,-16665.29,-19528.25,-24446.84,-12133.7
2019,Net Foreign Assets - Deposit Money Banks,-2821.51,-4246,-882.33,-2603.94,-2773.93,-1069.01,17.89,388.14,205.79,1570.66,0,0
2019,Total Net Domestic Assets,130980.74,134536.04,139125.61,143714.52,149230.02,152627.87,159392.8,166443.23,176822.88,207187.45,0,0
2019,Net Foreign Assets - Bank of Ghana,9315.06,9154.33,4485.86,1453.09,-3813.34,-6401.93,-8995.2,-14375.54,-16871.08,-21098.91,0,0
2019,Total Net Foreign Assets,6493.55,4908.33,3603.52,-1150.85,-6587.27,-7470.94,-8977.3,-13987.4,-16665.29,-19528.25,0,0
2019,Total Liquidity (M2+),117976.85,118467.48,119445.22,118933.79,120451.55,121891.32,122643.76,123548.57,124596.6,129231.01,131645.92,135555.75
2020,Broad Money (M2),92625.97,92071.18,93226.01,91942.98,93396.17,94210.69,94837.79,96081.78,96838.7,101128.67,102961.93,105737.27
2020,Narrow Money (M1),59346.37,57987.1,59148.13,57786.74,59218.95,59921.11,59325.64,60948.49,61153.92,63458.95,65974.99,69389.31
2020,Total Banking System Liabilities,117976.85,118467.48,119445.22,118933.79,120451.55,121891.32,122643.76,123548.57,124596.6,129231.01,131645.92,135555.75
2020,Reserve Money (RM),36117.25,35439.73,34904.63,35293.96,36597.91,36063.64,39878.74,37557.02,39156.13,39785.36,40353.04,43244.9
2020,Savings and Time Deposits,33279.6,34084.08,34077.88,34156.24,34177.22,34289.58,35512.15,35133.28,35684.78,37669.72,36986.94,36347.96
2020,Foreign Currency Deposits,25350.87,26396.31,26219.21,26990.81,27055.37,27680.63,27805.97,27466.8,27757.9,28102.33,28684,29818.48
2020,Demand Deposits,39440.16,38540.09,39823.39,38038.38,40106.48,41364.14,40746.4,42285.43,42341.55,43921.14,46467.01,47615.41
2020,Currency Outside Banks,19906.22,19447,19324.74,19748.36,19112.47,18556.97,18579.25,18663.06,18812.37,19537.81,19507.98,21773.9
2020,Total Banking System Assets,117976.85,118467.48,119445.22,118933.79,120451.55,121891.32,122643.76,123548.57,124596.6,129231.01,131645.92,135555.75
2020,Other Domestic Assets (Net),-24166.83,-25793.89,-23511.79,-23223.13,-26087.76,-22192.82,-22047.34,-23019.07,-26879.17,-26161.99,-24080.63,-9551.34
2020,Claims on Private and Public Enterprises,55081.43,55441.14,55222.55,55547.63,56183.01,55417.75,56238.07,57006.8,58627.96,60490.72,61295.52,62261.47
2020,Claims on Government,85886.99,86287.49,90387.46,92061.82,95961.19,94906.19,93587.41,95329.44,98107.94,96914.76,97702.04,97437.16
2020,Government Deposits,17805.29,16599.85,17749.88,33439.83,32051.55,31624.36,26221.94,24211.41,20459.64,17316.69,13478.78,22122.89
2020,Total Net Domestic Assets,98996.29,99334.89,104348.34,90946.49,94004.89,96506.78,101556.2,105105.76,109397.09,113926.79,121438.15,128024.4
2020,Net Foreign Assets - Bank of Ghana,16105.2,15460.68,11740.53,26967.14,26592.03,25033.84,23575.23,21169.25,16504.31,17247.01,13208.55,8247.02
2020,Net Foreign Assets - Deposit Money Banks,2875.35,3671.92,3356.35,1020.17,-145.37,350.71,-2487.66,-2726.43,-1304.8,-1942.8,-3000.78,-715.67
2020,Total Net Foreign Assets,18980.55,19132.59,15096.87,27987.31,26446.66,25384.55,21087.56,18442.81,15199.51,15304.21,10207.77,7531.35
2020,Broad Money (M2),68534.71,69798.91,71097.88,71941.26,75215.28,76951.84,77843.83,79012.1,84864.02,87833.39,91709.61,94491.75
2021,Total Liquidity (M2+),91907.42,91762.67,92905.07,94556.02,98540,100498.91,101564.14,102814.68,109134.38,112859.69,116597.74,120521.82
2021,Reserve Money (RM),27432.02,26284.64,28486.64,26747.38,27001.53,25546.83,28515.19,27474.02,30338.05,31611.83,33258.84,36124.78
2021,Narrow Money (M1),42605.59,43500.82,44691.05,45485.05,47768.64,48684.68,49276.26,49566.86,52738.45,54502.47,58162.71,60826.18
2021,Total Banking System Liabilities,91907.42,91762.67,92905.07,94556.02,98540,100498.91,101564.14,102814.68,109134.38,112859.69,116597.74,120521.82
2021,Foreign Currency Deposits,23372.71,21963.76,21807.18,22614.77,23324.71,23547.07,23720.32,23802.58,24270.36,25026.3,24888.13,26030.07
2021,Savings and Time Deposits,25929.11,26298.09,26406.84,26456.21,27446.64,28267.16,28567.57,29445.24,32125.57,33330.92,33546.9,33665.58
2021,Demand Deposits,28997.05,30107.92,31043.52,31170.49,33279.41,33867.24,33793.08,33785.01,36332.24,36793.2,38862.41,39936.55
2021,Total Banking System Assets,91907.42,91762.67,92905.07,94556.02,98540,100498.91,101564.14,102814.68,109134.38,112859.69,116597.74,120521.82
2021,Currency Outside Banks,13608.55,13392.9,13647.53,14314.56,14489.24,14817.44,15483.17,15781.85,16406.21,17709.26,19300.3,20889.63
2021,Other Domestic Assets (Net),-10525.95,-12599.46,-25303.39,-24929.09,-24590.26,-24656.45,-25663.22,-27373.7,-22425.1,-22269.48,-23508.65,-21480.37
2021,Claims on Private and Public Enterprises,50948.73,50658.28,49467.68,49460.31,49568.66,49590.7,49399.21,50214.5,51165.31,52072.76,54463.58,54438.54
2021,Government Deposits,12711.18,16498.94,12176.84,17635.59,17752.94,14651.49,12138.45,11008.61,15192.31,18160.83,15377.35,16104.3
2021,Total Net Domestic Assets,74512.23,69158.99,66360.95,67962.89,74590.46,78610.57,79882.01,82521.75,89828.09,93850.43,99627.41,101923.76
2021,Claims on Government,46800.63,47599.11,54373.5,61067.26,67365,68327.81,68284.47,70689.56,76280.18,82207.97,84049.83,85069.9
2021,Net Foreign Assets - Deposit Money Banks,-1640.93,-76.57,-1141.41,143.63,188.15,1429.66,3073.35,3262.18,2748.81,1515.61,1993.22,4476.57
2021,Net Foreign Assets - Bank of Ghana,19036.12,22680.25,27685.53,26449.5,23761.38,20458.68,18608.78,17030.75,16557.47,17493.65,14977.11,14121.48
2021,Total Net Foreign Assets,17395.19,22603.68,26544.12,26593.13,23949.53,21888.34,21682.13,20292.93,19306.29,19009.26,16970.33,18598.06
2021,Total Liquidity (M2+),78580.2,80115.31,81837.16,80948.25,81720.25,83517.12,81991.64,82381.98,85873.08,86834.8,89750.09,92975.47
2022,Broad Money (M2),61506.23,62114.88,63064.58,62642.47,62507.29,63008.83,62141.9,62231.49,64951.98,67182.71,68687.05,69973.1
2022,Narrow Money (M1),35749.95,36087.76,38343.92,37021.82,37692.56,38072.77,37284.88,38149.24,40091.32,40725.39,42438.98,43495.72
2022,Reserve Money (RM),22097.82,22066.42,23658.2,21977.25,22072.88,21906.3,22923.98,22848.62,23027.84,25060.18,25304.36,28896.02
2022,Total Banking System Liabilities,78580.2,80115.31,81837.16,81021.35,81870.59,83517.12,81991.64,82381.98,85873.08,86834.8,89750.09,92952.95
2022,Foreign Currency Deposits,17073.97,18000.43,18772.59,18305.78,19212.96,20508.29,19849.74,20150.49,20921.1,19652.09,21063.04,23002.37
2022,Savings and Time Deposits,25756.28,26027.12,24720.65,25620.65,24814.73,24936.05,24857.02,24082.25,24860.66,26457.32,26248.07,26477.38
2022,Currency Outside Banks,11359.96,11174.96,11291.11,11143.38,11033.23,10840.44,10950.34,11329.66,11419.94,12298.19,13179.57,14358.06
2022,Demand Deposits,24390,24912.8,27052.81,25878.43,26659.33,27232.34,26334.55,26819.58,28671.38,28427.21,29259.41,29137.66
2022,Total Banking System Assets,78580.2,80115.31,81837.16,81021.35,81870.59,83517.12,81991.64,82381.98,85873.08,86834.8,89750.09,92952.95
2022,Other Domestic Assets (Net),-3729.83,-3421.09,-5957.67,-4669.71,-6448.36,-4820.38,-8222.7,-8511.8,-9098.14,-11304.19,-11948.81,-11239.89
2022,Claims on Private and Public Enterprises,38784.43,39616.01,40977.91,41305.95,42069.45,42308.13,41969.91,43265.5,44447.88,46017.07,47290.13,49384.52
2022,Government Deposits,9645.08,9269.35,22446.09,20120.42,16572.69,16791.44,15781.12,16823.6,13000.25,11625,9662.62,13284.19
2022,Claims on Government,39622.05,40674.56,40343.94,41287.32,41168.47,42213.3,43843.38,45771.21,46129.47,46081.26,46486.4,47498.72
2022,Total Net Domestic Assets,65031.57,67600.14,52918.1,57876.23,60367.22,62909.62,61809.47,63701.3,68478.96,69169.14,72165.1,72359.17
2022,Net Foreign Assets - Deposit Money Banks,1500.68,1332.02,1735.6,1244.97,1067.7,1890.28,2670.76,503.32,790.44,9.27,238.07,670.46
2022,Net Foreign Assets - Bank of Ghana,12047.96,11183.15,27183.46,21900.15,20435.67,18717.23,17511.41,18177.36,16603.68,17656.39,17346.92,19923.32
2022,Total Net Foreign Assets,13548.64,12515.17,28919.06,23145.12,21503.37,20607.5,20182.18,18680.68,17394.12,17665.66,17584.99,20593.78
2022,Total Liquidity (M2+),65624.35,65391.69,67211.73,68255.73,68909.37,68402.24,71413.78,73665.72,73821.71,74641.05,75899.85,76380.39
2022,Narrow Money (M1),29253.12,28492.75,30389.87,31472.09,32056.8,31134.76,32343.09,33383.01,33067.36,33211.44,34287.05,34645.61
2022,Broad Money (M2),51585.72,51061,52877.93,53859.19,54243.26,53390.07,54992.04,56830.77,56733.19,58307.85,59776.49,60254.83
2022,Reserve Money (RM),20487.32,20182.67,20245.61,20434.65,19960.83,20259.33,19984.77,19867.74,20196.06,19878.52,20936.32,21501.04
