Transactional Type,Education Level,Region, Age (6-11),Age(12-15),Age(15-19),Age(20-24),Age(25-29),Age(30-34),Age(35-39),Age(40-44),Age(45-49),Age(50-54),Age(55-59),Age(60-64),Age(65-69),Age(70-74),Age(75-79),Age(80-84),Age(85-89)
Other  transaction only,Doctorate (PhD),Central,0,0,0,0,4,10,8,7,7,12,7,6,6,1,2,1,0
Other  transaction only,Doctorate (PhD),Greater Accra,0,0,0,6,32,37,58,65,62,55,46,44,19,19,8,6,1
Other  transaction only,Doctorate (PhD),Volta,0,0,0,0,0,7,7,3,4,2,3,2,4,2,1,0,0
Other  transaction only,Doctorate (PhD),Eastern,0,0,0,0,4,5,13,3,6,6,3,4,3,1,0,0,0
Other  transaction only,Doctorate (PhD),Ashanti,0,0,0,1,12,28,27,30,21,15,12,8,10,5,2,0,1
Other  transaction only,Doctorate (PhD),Western North,0,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0
Other  transaction only,Doctorate (PhD),Ahafo,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
Other  transaction only,Doctorate (PhD),Bono,0,0,0,1,2,3,2,5,4,4,0,1,0,1,0,0,0
Other  transaction only,Doctorate (PhD),Bono East,0,0,0,1,3,3,3,0,3,0,0,1,2,0,0,0,0
Other  transaction only,Doctorate (PhD),Oti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other  transaction only,Doctorate (PhD),Northern,0,0,0,2,4,6,7,9,9,7,4,2,1,2,2,1,0
Other  transaction only,Doctorate (PhD),Savannah,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Other  transaction only,Doctorate (PhD),North East,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Other  transaction only,Doctorate (PhD),Upper East,0,0,0,0,4,1,2,1,2,1,1,0,1,0,0,0,0
Other  transaction only,Doctorate (PhD),Upper West,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0
Other  transaction only,No Formal Education,Western,11768,3919,9958,16238,18095,20251,18906,16777,14239,13116,9393,9249,6321,6270,4418,3932,2172
Did not use mobile phone,No Formal Education,Central,10835,3177,7476,10393,11239,13375,15380,15330,15282,15552,12500,13338,9927,10692,8236,7646,4463
Did not use mobile phone,No Formal Education,Greater Accra,12902,4492,11333,15784,15399,16717,15084,13925,11664,10989,8396,9593,7032,7879,6045,5986,3668
Did not use mobile phone,No Formal Education,Volta,12068,3109,5657,7860,8237,10386,10658,10749,9837,10253,8186,8754,6693,7267,6072,7363,5082
Did not use mobile phone,No Formal Education,Eastern,14504,4328,8954,11839,12148,14744,16445,16143,15037,14625,12005,12405,8923,9743,8013,8352,6043
Did not use mobile phone,No Formal Education,Ashanti,18472,6714,17415,23902,26207,29581,29579,27333,23741,22438,16443,16446,11469,13926,10768,11484,7462
Did not use mobile phone,No Formal Education,Western North,8078,2567,6535,9420,10446,12518,12318,10956,8814,7708,5207,4691,2759,2860,1910,1845,1099
Did not use mobile phone,No Formal Education,Ahafo,2975,921,2371,3720,3914,4832,5150,4631,3969,3560,2645,2332,1606,1770,1346,1293,1031
Did not use mobile phone,No Formal Education,Bono,6548,2401,5797,8061,8207,9577,9951,9544,8480,8216,6447,6194,4213,4394,3712,3758,3462
Did not use mobile phone,No Formal Education,Bono East,22769,8115,14579,17759,15976,18709,17308,16641,13086,11640,8031,7782,5029,4662,3663,3933,2816
Did not use mobile phone,No Formal Education,Oti,23425,7439,11548,12982,12305,13900,12361,11593,8850,7757,5603,5281,3383,3378,2713,2603,1539
Did not use mobile phone,No Formal Education,Northern,108519,34227,54198,64163,57837,63213,48431,46665,29516,26691,15319,18981,10548,13808,9665,9299,3582
Did not use mobile phone,No Formal Education,Savannah,43298,14388,23299,25725,20864,22613,16768,16445,10743,9802,5753,6748,3920,4215,3146,2793,1033
Did not use mobile phone,No Formal Education,North East,32771,12135,19153,19760,16384,17487,14353,13045,9166,8149,5203,5956,3580,4448,3593,3048,1603
Did not use mobile phone,No Formal Education,Upper East,20625,8267,14659,16278,15971,19309,19174,20783,18072,18049,13083,14299,9989,11907,11079,11789,7354
Did not use mobile phone,No Formal Education,Upper West,20841,7667,13702,16486,15145,17847,17296,18171,15057,14375,10752,11572,7806,8042,6748,6085,4534
Did not use mobile phone,Nursery / Pre-School,Western,13,9,12,19,21,22,23,14,11,9,7,1,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Central,26,14,21,15,15,22,26,18,17,13,17,4,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Greater Accra,43,19,10,26,28,31,20,27,12,24,14,4,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Volta,22,7,4,5,4,3,9,4,8,7,4,1,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Eastern,24,7,9,14,13,15,14,16,12,16,24,7,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Ashanti,29,7,15,25,27,23,17,26,22,20,17,5,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Western North,6,8,4,10,8,19,8,6,12,12,5,2,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Ahafo,7,3,6,2,4,4,4,4,3,6,1,0,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Bono,5,3,5,5,3,8,2,4,6,3,1,1,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Bono East,32,14,12,14,5,12,3,8,6,6,0,0,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Oti,21,8,3,3,2,1,0,2,4,4,3,0,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Northern,82,34,37,16,14,13,6,8,1,7,4,1,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Savannah,36,13,16,14,11,3,11,10,2,0,0,0,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,North East,17,9,8,1,4,5,3,1,3,0,1,0,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Upper East,25,8,9,12,10,12,6,7,5,5,3,3,0,0,0,0,0
Did not use mobile phone,Nursery / Pre-School,Upper West,35,20,16,9,6,7,6,6,5,3,3,0,0,0,0,0,0
Did not use mobile phone,Kindergarten,Western,35485,37,48,52,43,40,25,25,15,13,14,1,0,0,0,0,0
Did not use mobile phone,Kindergarten,Central,51588,75,87,53,40,47,60,36,31,22,19,7,0,0,0,0,0
Did not use mobile phone,Kindergarten,Greater Accra,72759,43,59,55,48,39,37,28,29,20,15,2,0,0,0,0,0
Did not use mobile phone,Kindergarten,Volta,31001,60,57,47,41,34,39,40,31,33,27,6,0,0,0,0,0
Did not use mobile phone,Kindergarten,Eastern,54835,80,72,58,54,57,70,56,43,35,26,8,0,0,0,0,0
Did not use mobile phone,Kindergarten,Ashanti,94671,94,129,127,106,117,99,80,68,37,35,8,0,0,0,0,0
Did not use mobile phone,Kindergarten,Western North,15638,17,23,18,20,22,20,13,10,5,8,4,0,0,0,0,0
Did not use mobile phone,Kindergarten,Ahafo,10939,23,23,19,25,19,12,8,12,6,5,0,0,0,0,0,0
Did not use mobile phone,Kindergarten,Bono,20725,24,27,22,21,28,19,12,11,8,4,1,0,0,0,0,0
Did not use mobile phone,Kindergarten,Bono East,24395,80,79,56,39,41,38,21,14,14,5,1,0,0,0,0,0
Did not use mobile phone,Kindergarten,Oti,14197,45,47,20,9,20,13,13,10,4,6,3,0,0,0,0,0
Did not use mobile phone,Kindergarten,Northern,26216,58,73,39,21,19,13,6,5,2,3,0,0,0,0,0,0
Did not use mobile phone,Kindergarten,Savannah,6431,43,53,40,14,10,11,7,1,4,1,0,0,0,0,0,0
Did not use mobile phone,Kindergarten,North East,8373,44,28,15,11,4,3,4,2,0,0,1,0,0,0,0,0
Did not use mobile phone,Kindergarten,Upper East,18115,44,32,21,14,23,10,7,13,6,3,0,0,0,0,0,0
Did not use mobile phone,Kindergarten,Upper West,13215,54,43,31,16,13,9,7,1,5,9,0,0,0,0,0,0
Did not use mobile phone,Primary School,Western,226272,69768,7395,7511,6544,5921,5641,4252,3592,2803,1890,1686,1026,711,411,239,111
Did not use mobile phone,Primary School,Central,322687,103437,8483,7802,6586,6236,6778,5505,5026,4334,3146,2901,1978,1323,808,533,283
Did not use mobile phone,Primary School,Greater Accra,531639,136110,9392,8377,6981,6416,6017,4874,4132,3416,2445,2313,1542,1190,849,608,349
Did not use mobile phone,Primary School,Volta,179453,66566,6743,7144,6213,6049,6071,4839,4161,3645,2645,2521,1919,1623,1321,1109,671
Did not use mobile phone,Primary School,Eastern,311896,110287,10990,10415,8973,8809,9723,7648,6824,5798,4337,4145,2809,2226,1492,1055,653
Did not use mobile phone,Primary School,Ashanti,612780,166998,16457,14686,11752,10994,11104,8713,7392,6129,4521,3983,2564,1978,1273,1050,509
Did not use mobile phone,Primary School,Western North,100581,34181,3867,3293,2735,2745,2445,1782,1459,1191,864,654,419,268,142,83,51
Did not use mobile phone,Primary School,Ahafo,64608,21439,2200,1969,1540,1535,1595,1174,961,765,598,466,335,237,135,96,57
Did not use mobile phone,Primary School,Bono,132295,41038,4430,3965,2928,2771,2684,1978,1593,1347,980,934,653,398,216,164,103
Did not use mobile phone,Primary School,Bono East,130588,47090,8526,6633,4333,3555,2978,2154,1498,1145,797,735,466,283,198,133,67
Did not use mobile phone,Primary School,Oti,76811,31262,4805,4164,2959,2596,2245,1775,1338,998,782,662,456,361,234,204,110
Did not use mobile phone,Primary School,Northern,238507,74274,8574,6255,3567,2322,1397,990,501,383,201,195,127,105,77,54,26
Did not use mobile phone,Primary School,Savannah,51258,17800,3216,2517,1326,901,585,387,253,205,103,118,67,44,30,27,5
Did not use mobile phone,Primary School,North East,69151,21832,2893,1861,1140,819,517,307,196,174,90,84,43,52,36,25,13
Did not use mobile phone,Primary School,Upper East,150520,53260,8140,5527,3910,3032,2290,1629,1272,934,546,503,307,257,179,180,80
Did not use mobile phone,Primary School,Upper West,97526,37949,5834,4258,2768,1842,1345,892,583,464,343,352,251,170,107,76,30
Did not use mobile phone,Junior High School,Western,2090,46555,81486,22439,18216,15148,13276,8814,5205,1824,960,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Central,2651,67350,116635,26444,19207,15926,14885,10628,6491,2173,1134,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Greater Accra,6729,134462,150714,27480,20223,18845,16748,11806,6698,2667,1592,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Volta,1464,32332,76165,15823,10430,9284,8811,6817,4532,1746,969,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Eastern,2282,61738,122532,26956,20849,18436,17519,12858,7944,2584,1491,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Ashanti,5627,137925,190228,43396,32973,27330,25621,18756,10888,3730,2093,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Western North,785,18972,40785,9308,6552,5509,5204,3540,2079,666,287,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Ahafo,469,12072,24211,5263,3846,3192,3134,2413,1372,515,281,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Bono,1097,25593,45045,9837,7034,6268,6364,4790,2757,962,471,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Bono East,961,18139,47950,10806,6680,4577,4183,3152,1768,631,306,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Oti,614,10615,33457,7343,4186,3072,2892,2161,1330,529,242,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Northern,3524,29008,75446,11861,5128,2944,1779,1103,533,251,131,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Savannah,658,6303,20113,3895,2066,1036,627,365,172,96,55,0,0,0,0,0,0
Did not use mobile phone,Junior High School,North East,970,8882,21802,3747,1629,849,435,303,137,68,37,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Upper East,1345,22436,56216,9687,4830,2517,1584,922,456,282,129,0,0,0,0,0,0
Did not use mobile phone,Junior High School,Upper West,791,12021,40746,7324,3420,1832,1248,812,402,201,120,0,0,0,0,0,0
Did not use mobile phone,Middle School,Western,0,0,0,0,0,0,0,0,2097,5326,4727,5229,3191,2318,1236,727,352
Did not use mobile phone,Middle School,Central,0,0,0,0,0,0,0,0,2484,6908,6343,6875,4589,3220,1795,1176,584
Did not use mobile phone,Middle School,Greater Accra,0,0,0,0,0,0,0,0,2973,7222,6585,7961,5230,4265,2868,1995,1060
Did not use mobile phone,Middle School,Volta,0,0,0,0,0,0,0,0,1456,4550,4992,5393,3839,3062,2001,1466,788
Did not use mobile phone,Middle School,Eastern,0,0,0,0,0,0,0,0,3785,10298,10187,10322,7171,5458,3267,2419,1298
Did not use mobile phone,Middle School,Ashanti,0,0,0,0,0,0,0,0,5511,13131,11979,13335,8289,5560,3128,2229,1195
Did not use mobile phone,Middle School,Western North,0,0,0,0,0,0,0,0,802,2140,1893,1910,1218,793,347,260,125
Did not use mobile phone,Middle School,Ahafo,0,0,0,0,0,0,0,0,622,1654,1353,1455,894,551,295,192,108
Did not use mobile phone,Middle School,Bono,0,0,0,0,0,0,0,0,1081,2809,2499,2830,1872,1098,601,366,223
Did not use mobile phone,Middle School,Bono East,0,0,0,0,0,0,0,0,616,1573,1427,1626,983,681,331,200,128
Did not use mobile phone,Middle School,Oti,0,0,0,0,0,0,0,0,555,1403,1543,1536,1025,802,485,323,176
Did not use mobile phone,Middle School,Northern,0,0,0,0,0,0,0,0,93,255,241,358,209,146,78,51,29
Did not use mobile phone,Middle School,Savannah,0,0,0,0,0,0,0,0,44,142,112,165,95,83,38,16,6
Did not use mobile phone,Middle School,North East,0,0,0,0,0,0,0,0,31,76,77,89,72,44,29,22,6
Did not use mobile phone,Middle School,Upper East,0,0,0,0,0,0,0,0,112,317,305,480,264,220,126,84,46
Did not use mobile phone,Middle School,Upper West,0,0,0,0,0,0,0,0,73,216,260,418,340,225,113,41,41
Did not use mobile phone,Senior High School,Western,0,965,40769,18239,8957,5581,3369,2425,1095,146,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Central,0,1535,61891,21029,8304,5103,3200,2286,1095,127,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Greater Accra,0,4097,106780,42503,19859,13247,8756,6101,2917,391,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Volta,0,942,37038,14717,4819,3092,2123,1748,1110,169,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Eastern,0,1422,73319,23215,7703,4848,3552,3091,1325,180,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Ashanti,0,3360,147635,48169,19098,11133,6939,5225,2329,280,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Western North,0,359,16196,8718,4011,2287,1364,929,503,45,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Ahafo,0,241,11641,5273,1942,1104,710,535,299,50,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Bono,0,578,25665,12197,4938,3017,1924,1371,708,87,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Bono East,0,413,17406,11006,4516,2154,1356,912,562,82,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Oti,0,254,9593,5706,2385,1154,748,602,348,39,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Northern,0,1216,28436,21915,7814,2912,1434,865,494,64,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Savannah,0,266,7681,6302,2311,885,373,275,146,21,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,North East,0,417,9379,7376,2855,857,426,287,147,18,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Upper East,0,538,19217,11704,4333,1656,908,614,344,37,0,0,0,0,0,0,0
Did not use mobile phone,Senior High School,Upper West,0,338,13797,9339,2850,1030,495,365,267,42,0,0,0,0,0,0,0
Did not use mobile phone,Secondary School,Western,1,23,639,491,332,323,266,733,1378,659,613,480,724,470,268,187,94
Did not use mobile phone,Secondary School,Central,1,27,766,343,189,216,181,669,1486,691,549,531,911,545,326,215,112
Did not use mobile phone,Secondary School,Greater Accra,20,181,1639,1122,829,1033,974,1858,2746,2441,2316,2133,2379,1897,1170,811,504
Did not use mobile phone,Secondary School,Volta,2,17,435,262,142,135,140,496,940,569,466,415,639,415,274,185,109
Did not use mobile phone,Secondary School,Eastern,4,28,827,359,164,202,205,999,2067,827,775,846,1174,858,498,313,202
Did not use mobile phone,Secondary School,Ashanti,6,55,1317,735,421,442,464,1712,3319,1685,1417,1313,1781,1255,695,439,234
Did not use mobile phone,Secondary School,Western North,0,9,517,259,109,118,99,295,559,239,197,164,214,116,69,45,14
Did not use mobile phone,Secondary School,Ahafo,0,7,158,98,72,54,54,175,412,194,166,126,218,126,69,60,34
Did not use mobile phone,Secondary School,Bono,2,9,219,212,122,158,116,382,741,427,382,300,451,290,144,82,71
Did not use mobile phone,Secondary School,Bono East,3,9,220,215,94,89,72,220,435,267,185,154,255,156,61,58,19
Did not use mobile phone,Secondary School,Oti,0,3,161,109,57,52,40,171,305,174,161,111,179,112,76,45,24
Did not use mobile phone,Secondary School,Northern,4,46,533,565,255,187,112,131,136,210,144,122,136,112,60,53,24
Did not use mobile phone,Secondary School,Savannah,1,7,107,200,90,59,35,58,67,71,48,56,51,36,22,16,0
Did not use mobile phone,Secondary School,North East,3,6,112,115,47,41,28,24,34,64,44,36,37,34,17,10,4
Did not use mobile phone,Secondary School,Upper East,3,23,451,253,111,81,67,104,107,128,102,98,143,115,67,51,28
Did not use mobile phone,Secondary School,Upper West,2,20,587,308,74,40,47,65,88,102,98,75,134,118,48,36,25
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Western,0,12,792,684,650,460,414,244,195,130,159,164,102,86,62,37,12
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Central,0,16,1411,762,501,427,405,260,229,204,193,250,190,110,71,42,28
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Greater Accra,0,32,1219,1707,1583,1339,1387,1081,959,876,927,1042,892,639,482,328,149
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Volta,0,28,1864,780,448,248,218,186,197,244,189,233,147,92,65,61,26
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Eastern,0,18,1591,582,420,338,340,277,221,211,287,364,256,197,119,94,48
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Ashanti,0,19,1008,728,772,547,574,420,332,268,309,327,261,136,102,64,36
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Western North,0,0,23,73,156,77,55,49,46,27,25,30,19,11,8,10,3
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Ahafo,0,2,70,109,93,88,63,33,41,28,26,19,10,11,3,6,2
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Bono,0,5,143,212,272,149,184,138,130,84,77,66,44,21,17,11,3
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Bono East,0,2,159,77,185,59,49,43,39,42,26,24,21,13,7,1,0
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Oti,0,4,161,107,129,45,39,29,42,39,37,40,24,21,5,8,5
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Northern,0,15,364,320,746,159,69,62,31,27,23,12,10,7,5,1,1
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Savannah,0,2,12,33,223,52,26,11,5,4,3,3,5,2,2,0,0
Did Not Use Mobile Phone,Vocational / Technical / Commercial,North East,0,0,89,60,205,37,13,12,3,0,5,0,1,1,1,0,0
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Upper East,0,5,477,216,277,121,67,38,39,29,21,16,9,7,1,2,1
Did Not Use Mobile Phone,Vocational / Technical / Commercial,Upper West,0,8,881,777,328,141,99,54,43,30,24,24,17,10,5,2,1
Did not use mobile phone,Post-Secondary Certificate,Western,0,0,53,36,48,120,63,202,247,167,117,114,87,75,55,28,17
Did not use mobile phone,Post-Secondary Certificate,Central,0,0,115,54,63,124,87,266,264,178,109,121,116,86,75,41,22
Did not use mobile phone,Post-Secondary Certificate,Greater Accra,0,0,147,208,190,331,212,358,420,347,275,327,310,254,232,161,69
Did not use mobile phone,Post-Secondary Certificate,Volta,0,0,34,70,44,122,67,219,191,111,62,91,105,96,87,58,35
Did not use mobile phone,Post-Secondary Certificate,Eastern,0,0,38,65,75,159,73,321,348,204,107,165,146,120,99,53,46
Did not use mobile phone,Post-Secondary Certificate,Ashanti,0,0,233,145,156,352,200,481,523,335,181,225,197,182,85,66,38
Did not use mobile phone,Post-Secondary Certificate,Western North,0,0,21,23,20,50,13,39,45,46,20,43,29,19,8,5,1
Did not use mobile phone,Post-Secondary Certificate,Ahafo,0,0,0,14,26,31,20,90,87,33,20,14,15,8,7,6,2
Did not use mobile phone,Post-Secondary Certificate,Bono,0,0,31,25,33,117,73,149,144,99,76,74,64,39,25,23,8
Did not use mobile phone,Post-Secondary Certificate,Bono East,0,0,148,25,45,137,66,155,149,73,42,31,36,22,16,4,6
Did not use mobile phone,Post-Secondary Certificate,Oti,0,0,105,15,17,62,26,80,68,39,24,39,22,18,20,9,5
Did not use mobile phone,Post-Secondary Certificate,Northern,0,0,50,101,111,282,121,171,152,75,38,48,32,20,19,10,4
Did not use mobile phone,Post-Secondary Certificate,Savannah,0,0,77,14,34,103,47,68,47,41,13,12,7,3,4,1,0
Did not use mobile phone,Post-Secondary Certificate,North East,0,0,416,41,38,103,25,53,47,17,7,8,20,7,3,5,1
Did not use mobile phone,Post-Secondary Certificate,Upper East,0,0,139,48,51,145,58,148,94,52,30,26,22,26,18,5,3
Did not use mobile phone,Post-Secondary Certificate,Upper West,0,0,48,34,41,117,49,114,94,51,24,39,46,39,19,7,3
Did not use mobile phone,Post-Secondary Diploma,Western,0,0,254,284,311,245,148,86,64,74,73,113,85,80,55,32,21
Did not use mobile phone,Post-Secondary Diploma,Central,0,0,545,349,325,292,168,82,79,50,73,118,86,95,67,55,15
Did not use mobile phone,Post-Secondary Diploma,Greater Accra,0,0,447,762,707,573,371,234,220,195,196,314,277,296,241,186,103
Did not use mobile phone,Post-Secondary Diploma,Volta,0,0,150,210,180,188,126,93,81,56,76,113,117,134,101,62,37
Did not use mobile phone,Post-Secondary Diploma,Eastern,0,0,282,382,364,312,142,89,58,63,103,165,168,167,117,91,56
Did not use mobile phone,Post-Secondary Diploma,Ashanti,0,0,1058,1018,901,683,343,187,158,133,155,280,252,243,153,83,61
Did not use mobile phone,Post-Secondary Diploma,Western North,0,0,669,298,242,143,56,31,14,24,39,41,35,23,14,4,4
Did not use mobile phone,Post-Secondary Diploma,Ahafo,0,0,194,122,84,71,29,13,15,12,19,37,18,15,11,6,3
Did not use mobile phone,Post-Secondary Diploma,Bono,0,0,390,271,255,214,98,49,43,38,69,72,73,67,29,21,6
Did not use mobile phone,Post-Secondary Diploma,Bono East,0,0,843,334,276,233,99,51,32,34,38,65,39,33,11,6,5
Did not use mobile phone,Post-Secondary Diploma,Oti,0,0,393,92,104,108,54,26,22,25,33,33,25,25,21,12,5
Did not use mobile phone,Post-Secondary Diploma,Northern,0,0,634,509,414,312,146,75,54,35,35,43,33,28,19,5,0
Did not use mobile phone,Post-Secondary Diploma,Savannah,0,0,140,154,100,81,39,22,10,13,8,17,11,6,6,0,0
Did not use mobile phone,Post-Secondary Diploma,North East,0,0,309,227,190,144,49,22,16,8,6,13,10,5,3,3,0
Did not use mobile phone,Post-Secondary Diploma,Upper East,0,0,578,273,304,226,92,42,21,20,39,53,34,46,18,5,4
Did not use mobile phone,Post-Secondary Diploma,Upper West,0,0,271,211,217,161,76,24,22,17,11,51,59,38,16,6,4
Did not use mobile phone,Higher National Diploma (HND),Western,0,0,1045,3518,1581,999,713,274,126,105,115,112,84,63,43,25,9
Did not use mobile phone,Higher National Diploma (HND),Central,0,0,570,3333,1519,836,676,251,105,87,73,90,76,57,34,23,12
Did not use mobile phone,Higher National Diploma (HND),Greater Accra,0,0,1580,6576,3641,2473,1449,835,447,334,280,393,312,271,196,116,67
Did not use mobile phone,Higher National Diploma (HND),Volta,0,0,390,3617,1069,648,407,155,72,67,56,70,77,38,31,9,9
Did not use mobile phone,Higher National Diploma (HND),Eastern,0,0,640,3838,1671,1056,749,257,112,81,75,103,91,55,43,39,23
Did not use mobile phone,Higher National Diploma (HND),Ashanti,0,0,1544,5714,2839,1801,1284,434,167,137,117,151,146,135,67,36,19
Did not use mobile phone,Higher National Diploma (HND),Western North,0,0,228,1375,410,230,131,51,27,16,10,13,10,4,3,4,0
Did not use mobile phone,Higher National Diploma (HND),Ahafo,0,0,72,893,362,225,178,45,10,9,12,14,9,8,4,2,0
Did not use mobile phone,Higher National Diploma (HND),Bono,0,0,283,1852,726,454,358,103,32,37,25,35,30,15,8,9,8
Did not use mobile phone,Higher National Diploma (HND),Bono East,0,0,208,2342,808,503,320,75,23,12,14,12,12,8,3,3,2
Did not use mobile phone,Higher National Diploma (HND),Oti,0,0,43,1744,576,273,181,37,12,6,11,8,10,7,5,4,2
Did not use mobile phone,Higher National Diploma (HND),Northern,0,0,579,4702,1949,971,442,149,70,34,22,24,15,12,6,2,1
Did not use mobile phone,Higher National Diploma (HND),Savannah,0,0,242,1678,679,346,177,50,13,4,3,4,6,2,1,0,0
Did not use mobile phone,Higher National Diploma (HND),North East,0,0,230,1541,525,241,111,35,9,3,3,3,1,0,1,1,0
Did not use mobile phone,Higher National Diploma (HND),Upper East,0,0,397,2969,1143,566,296,93,23,19,17,18,13,7,6,0,0
Did not use mobile phone,Higher National Diploma (HND),Upper West,0,0,184,2801,863,445,260,49,16,10,9,20,10,13,6,4,1
Did not use mobile phone,Bachelor’s Degree,Western,0,0,2796,1738,1257,815,493,257,203,137,89,120,79,76,55,30,14
Did not use mobile phone,Bachelor’s Degree,Central,0,0,4483,2360,1348,879,615,350,232,161,100,148,128,107,74,34,30
Did not use mobile phone,Bachelor’s Degree,Greater Accra,0,0,9360,9243,6445,4676,3179,1861,1280,897,712,824,672,565,460,378,230
Did not use mobile phone,Bachelor’s Degree,Volta,0,0,2169,1031,566,447,322,214,139,111,69,117,95,109,61,45,27
Did not use mobile phone,Bachelor’s Degree,Eastern,0,0,3496,1578,1057,780,594,346,227,148,143,183,157,132,98,54,32
Did not use mobile phone,Bachelor’s Degree,Ashanti,0,0,8538,5604,3372,2307,1495,724,392,312,258,339,258,218,137,91,52
Did not use mobile phone,Bachelor’s Degree,Western North,0,0,1485,746,463,302,183,75,33,30,24,28,23,12,6,5,3
Did not use mobile phone,Bachelor’s Degree,Ahafo,0,0,908,317,216,149,98,48,37,26,22,22,15,14,7,3,0
Did not use mobile phone,Bachelor’s Degree,Bono,0,0,2052,1440,902,670,386,168,105,53,61,73,58,40,16,15,8
Did not use mobile phone,Bachelor’s Degree,Bono East,0,0,1253,670,435,366,191,92,61,50,28,51,35,17,11,6,5
Did not use mobile phone,Bachelor’s Degree,Oti,0,0,774,353,184,122,84,50,21,10,25,20,17,14,14,4,4
Did not use mobile phone,Bachelor’s Degree,Northern,0,0,1429,1087,828,557,339,183,125,50,53,72,49,21,24,5,0
Did not use mobile phone,Bachelor’s Degree,Savannah,0,0,441,253,241,172,78,44,22,14,10,20,15,6,4,3,1
Did not use mobile phone,Bachelor’s Degree,North East,0,0,304,261,195,105,65,31,14,8,2,14,5,7,3,0,0
Did not use mobile phone,Bachelor’s Degree,Upper East,0,0,1384,641,451,358,208,119,59,30,33,50,26,22,6,3,7
Did not use mobile phone,Bachelor’s Degree,Upper West,0,0,1035,450,295,252,149,77,45,28,26,39,29,26,14,15,3
Did not use mobile phone,Postgraduate Certificate/Diploma,Western,0,0,0,177,244,171,91,44,39,32,53,72,28,31,26,16,4
Did not use mobile phone,Postgraduate Certificate/Diploma,Central,0,0,0,222,232,208,101,48,44,25,57,80,37,34,30,17,10
